1HrEqMHQVWhKuCg7a3rxo2tAFAiKquJ5iP,btc,ransomware,cryptolocker,localbitcoins-onlinewallet,https://bitcoinwhoswho.com/blog/2017/05/14/bitcoin-ransomware-addresses/
1Lv9ofuunrmtQeGPMJCj4iwJbr6wGbossn,btc,exchange,localbitcoins,,https://explorer.crystalblockchain.com/address/1Lv9ofuunrmtQeGPMJCj4iwJbr6wGbossn
1KAGE12gtYVfizicQSDQmnPHYfA29bu8Da,btc,scam,elon-musk-scam,elon-musk-10x-scam_musk.plus_spacex.plus_musk.fund,https://www.bleepingcomputer.com/news/security/fake-elon-musk-twitter-bitcoin-scam-earned-180k-in-one-day/
#182NGZbPJXwg2WDrhrPpR7tpiGQkNPF844,btc,state-sponsored,apt29,us-gov-sanctioned,https://www.bleepingcomputer.com/news/security/us-sanctions-cryptocurrency-addresses-linked-to-russian-cyberactivities
#19D8PHBjZH29uS1uPZ4m3sVyqqfF8UFG9o,btc,state-sponsored,apt29,us-gov-sanctioned,https://www.bleepingcomputer.com/news/security/us-sanctions-cryptocurrency-addresses-linked-to-russian-cyberactivities
#1DtGgdCi9VPKz2Bpq8GQhUQEPnQ5HwaT9n,btc,state-sponsored,apt29,us-gov-sanctioned,https://www.bleepingcomputer.com/news/security/us-sanctions-cryptocurrency-addresses-linked-to-russian-cyberactivities
#1EYitrwBYNWuTBcjZFbEUdqHppe2raLpaF,btc,state-sponsored,apt29,us-gov-sanctioned,https://www.bleepingcomputer.com/news/security/us-sanctions-cryptocurrency-addresses-linked-to-russian-cyberactivities
#1G9CKRHA3mx22DoT1QyNYrh85VSQ19Y1em,btc,state-sponsored,apt29,us-gov-sanctioned,https://www.bleepingcomputer.com/news/security/us-sanctions-cryptocurrency-addresses-linked-to-russian-cyberactivities
#1NE2NiGhhbkFPSEyNWwj7hKGhGDedBtSrQ,btc,state-sponsored,apt29,us-gov-sanctioned,https://www.bleepingcomputer.com/news/security/us-sanctions-cryptocurrency-addresses-linked-to-russian-cyberactivities
1J25YSaUJQT9AdEJ9rmSrKRZhCpc6Wkr7e,btc,scam,btcdaily.info,doublebitcoin.ga,https://cryptoscamdb.org/
1VayNert3x1KzbpzMGt2qdqrAThiRovi8,btc,mining,deepbit,miner,https://www.walletexplorer.com/address/1VayNert3x1KzbpzMGt2qdqrAThiRovi8
3QyUSB4eRYePHcvpS6k6YDMBUDGXRSSMPc,btc,exchange,bitcoinbon.at,exchange,https://www.interpol.int
19iVyH1qUxgywY8LJSbpV4VavjZmyuEyxV,btc,exchange,huobi,,https://explorer.crystalblockchain.com/address/19iVyH1qUxgywY8LJSbpV4VavjZmyuEyxV
134r8iHv69xdT6p5qVKTsHrcUEuBVZAYak,btc,state-sponsored,lazarus,yinyin-tian,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Pages/20200302.aspx
15YK647qtoZQDzNrvY6HJL6QwXduLHfT28,btc,state-sponsored,lazarus,yinyin-tian,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Pages/20200302.aspx
1PfwHNxUnkpfkK9MKjMqzR3Xq3KCtq9u17,btc,state-sponsored,lazarus,yinyin-tian,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Pages/20200302.aspx
14kqryJUxM3a7aEi117KX9hoLUw592WsMR,btc,state-sponsored,lazarus,yinyin-tian,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Pages/20200302.aspx
1F2Gdug9ib9NQMhKMGGJczzMk5SuENoqrp,btc,state-sponsored,lazarus,yinyin-tian,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Pages/20200302.aspx
1EfMVkxQQuZfBdocpJu6RUsCJvenQWbQyE,btc,state-sponsored,lazarus,yinyin-tian,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Pages/20200302.aspx
3F2sZ4jbhvDKQdGbHYPC6ZxFXEau2m5Lqj,btc,state-sponsored,lazarus,yinyin-tian,https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Pages/20200302.aspx
